"宝亀"  50 
"宝亀"  50 
"永延"  53 
"永延"  53 
"雲火"  54 
"嘉豊"  55 
"陛天"  62 
"敬徳"  63 
"立平"  63 
"元貞"  69 
"元貞"  69 
"平立"  69 
"雪雲"  69 
"慶皇"  71 
"慶家"  72 
"松弘"  74 
"宝祭"  75 
"誠徳"  75 
"観視"  76 
"皇慶"  78 
"皇承"  78 
"雲陸"  79 
"成化"  81 
"家慶"  82 
"文著"  83 
"養妻"  86 
"万増"  87 
"徳寛"  87 
"徳寛"  87 
"徳誠"  88 
"家享"  90 
"雲雪"  93 
"徳敬"  94 
"慶老"  94 
"寛忠"  96 
"弘松"  96 
"祭宝"  98 
"任政"  99 
"刀宝"  99 
"天陛"  99 
"家禄"  99 
"徳天"  99 
"文古"  99 
"雲星"  99 
"承続"  589 
"忠寛"  679 
"観鏡"  732 
"養医"  751 
"続承"  846 
"同応"  866 
"買万"  867 
"増万"  1120 
"孝養"  1290 
"尊徳"  1570 
"尊徳"  1570 
"信徳"  1680 
"応同"  1910 
"権政"  2010 
"弘孝"  2750 
"守康"  2900 
"喜幕"  3150 
"養孝"  3420 
"仁徳"  4320 
"仁徳"  4320 
"嘉慶"  4510 
"嘉慶"  4510 
"説文"  4670 
"養乳"  4810 
"徳尊"  5080 
"医養"  5140 
"永弟"  5600 
"延永"  5820 
"延永"  5820 
"貧養"  8070 
"万買"  8800 
"仁忠"  10200 
"視観"  10200 
"養父"  10200 
"貞元"  10500 
"貞元"  10500 
"忠仁"  11000 
"宝刀"  11900 
"文読"  11900 
"文説"  12000 
"鏡観"  12000 
"孝弘"  12300 
"読文"  12800 
"養貧"  13200 
"妻養"  13300 
"物観"  13300 
"徳仁"  13600 
"徳明"  14400 
"徳仁"  14800 
"亀宝"  16000 
"亀宝"  16000 
"安久"  17800 
"幕喜"  17800 
"慶孝"  18000 
"弟永"  18400 
"観物"  18400 
"安久"  19200 
"父養"  19200 
"喜弟"  19600 
"永安"  21600 
"永安"  21600 
"治推"  21600 
"天徳"  21700 
"天徳"  21700 
"老慶"  22000 
"正貞"  23300 
"正貞"  24200 
"文語"  24800 
"豊嘉"  25700 
"政権"  26200 
"慶嘉"  26600 
"慶嘉"  26600 
"明理"  26600 
"恩仁"  26700 
"生養"  30500 
"承皇"  31800 
"老養"  33700 
"久安"  34900 
"久安"  34900 
"禄家"  35200 
"受承"  35500 
"古文"  40800 
"乳養"  42400 
"遊喜"  50100 
"推治"  51300 
"貞正"  58800 
"貞正"  58800 
"文句"  59900 
"星雲"  61900 
"康守"  65700 
"養老"  66800 
"歌喜"  66900 
"弟喜"  69800 
"民政"  77500 
"礼神"  78900 
"陸雲"  79000 
"語文"  79300 
"政乱"  79500 
"神礼"  81100 
"姿神"  85400 
"養生"  86600 
"雲雨"  92300 
"寛徳"  95000 
"寛徳"  95000 
"徳信"  96400 
"康医"  99200 
"喜歌"  101000 
"仁恩"  106000 
"雨雲"  111000 
"政任"  114000 
"皇天"  115000 
"寿年"  128000 
"永年"  144000 
"神姿"  151000 
"句文"  156000 
"永寿"  156000 
"永寿"  156000 
"医康"  157000 
"記文"  159000 
"喜遊"  161000 
"万億"  168000 
"永寿"  171000 
"天皇"  202000 
"安永"  205000 
"安永"  205000 
"文書"  220000 
"理明"  281000 
"化成"  302000 
"寿永"  347000 
"火雲"  359000 
"寿永"  370000 
"寿永"  381000 
"寿永"  381000 
"嘉元"  416000 
"嘉元"  416000 
"乱政"  448000 
"書文"  517000 
"清和"  554000 
"喜悲"  654000 
"年寿"  673000 
"文記"  701000 
"天神"  769000 
"元嘉"  872000 
"元嘉"  872000 
"永元"  872000 
"永元"  872000 
"天神"  884000 
"明皇"  1040000 
"著文"  1110000 
"元永"  1210000 
"元永"  1210000 
"年永"  1210000 
"康保"  1490000 
"康保"  1490000 
"皇明"  1500000 
"万百"  1760000 
"神天"  1980000 
"神天"  1980000 
"保康"  2130000 
"保康"  2130000 
"享家"  3500000 
"和清"  3700000 
"悲喜"  7900000 
"億万"  7960000 
"政民"  32100000 
"万千"  39600000 
"百万"  267000000 
"千万"  332000000 

"雲火"  131000 
"火雲"  359000 
"万千"  45300000 
"千万"  311000000 
"明皇"  1270000 
"皇明"  1740000 
"慶皇"  24800 
"皇慶"  36300 
"観物"  18400 
"物観"  13300 
"徳誠"  2400000 
"誠徳"  1820 
"養孝"  3420 
"孝養"  1290 
"徳敬"  402 
"敬徳"  67400 
"養貧"  13100 
"貧養"  8070 
"神姿"  178000 
"姿神"  85400 
"明理"  26600 
"理明"  281000 
"喜歌"  101000 
"歌喜"  66900 
"天陛"  9410 
"陛天"  2850 
"宝刀"  11900 
"刀宝"  26400 
"喜幕"  3150 
"幕喜"  17800 
"永弟"  5600 
"弟永"  18400 
"喜弟"  19600 
"弟喜"  69800 
"康医"  99200 
"医康"  157000 
"宝祭"  20000 
"祭宝"  21300 
"化成"  329000 
"成化"  2210000 
"政任"  120000 
